ts,cpu_usage_s,cpu_pressure_some_s,runq_wait_s,mem_bytes,cg_usage_usec,cg_press_some_total_us,node_load1
1788848134.513437691,2758.139369,58.964682,141.835682919,1.904279552e+09,2758197336,58983886,297.32
1788848136.623799713,2761.200927,59.841999,143.628946052,1.904500736e+09,2761256373,59865921,297.32
1788848138.688908614,2764.578373,60.589061,145.14044103,1.904959488e+09,2764617205,60625471,321.39
1788848140.800232204,2768.345107,61.352931,146.713023051,1.905856512e+09,2768533746,61365107,321.39
1788848143.012572646,2772.099802,62.000741,148.076346527,1.906507776e+09,2772152009,62046990,321.39
1788848145.095323003,2775.484674,62.813846,149.661442731,1.90646272e+09,2775507189,62840021,323.61
1788848147.175106844,2778.545825,63.647408,151.532616785,1.907257344e+09,2779034365,63733285,323.61
1788848149.508471063,2781.811938,64.661191,154.031351994,1.908072448e+09,2782211881,64814112,306.34
1788848152.019904577,2785.058321,65.59311,156.321150679,1.909395456e+09,2785102770,65597005,306.34
1788848154.061296861,2789.191776,65.63203,156.50314878,1.908944896e+09,2789229062,65632086,282.05
1788848156.094696252,2793.354299,65.641779,156.546291772,1.90988288e+09,2793387159,65641854,282.05
1788848158.125422458,2797.511478,65.645899,156.557430418,1.91072256e+09,2797548631,65645946,282.05
1788848160.159230289,2801.675977,65.650598,156.569105195,1.91158272e+09,2801708827,65650651,259.70
1788848162.189545190,2805.822592,65.656484,156.580532539,1.912352768e+09,2805857418,65656547,259.70
1788848164.220995238,2809.974273,65.662751,156.600875558,1.913540608e+09,2810007018,65662787,239.07
1788848166.251695092,2814.120791,65.669699,156.616812881,1.91424512e+09,2814158298,65669743,239.07
1788848168.283556629,2818.267853,65.674862,156.623192966,1.914150912e+09,2818298604,65674907,239.07
1788848170.312721146,2822.416089,65.680856,156.640037168,1.914896384e+09,2822447992,65680893,220.08
1788848172.343224045,2826.561012,65.684481,156.642923948,1.915895808e+09,2826593866,65684519,220.08
1788848174.374041542,2830.708317,65.693081,156.668234625,1.916710912e+09,2830741321,65693116,202.70
1788848176.405355291,2834.851526,65.698888,156.690558063,1.91756288e+09,2834891930,65699065,202.70
1788848178.439994606,2839.006226,65.702417,156.692707733,1.918836736e+09,2839038946,65702470,186.63
1788848180.471041264,2843.151492,65.706412,156.705022379,1.987633152e+09,2843174825,65706425,186.63
1788848182.502206933,2847.284006,65.70984,156.707166192,1.953763328e+09,2847316870,65709889,186.63
1788848184.533679404,2851.412431,65.725026,156.767028418,1.954082816e+09,2851445260,65725069,171.84
1788848186.563853988,2855.568931,65.732133,156.787924215,1.954484224e+09,2855599709,65732175,171.84
1788848188.594179676,2859.717652,65.739228,156.804233143,1.954971648e+09,2859754979,65739283,158.56
1788848190.628063690,2863.869403,65.743187,156.808715027,1.956057088e+09,2863902329,65743233,158.56
1788848192.658770195,2868.010621,65.748969,156.821700965,1.955885056e+09,2868047139,65749149,158.56
1788848194.692464213,2872.161268,65.754399,156.832376951,1.955852288e+09,2872194079,65754446,146.02
1788848196.723331981,2876.300639,65.760165,156.844654162,1.956306944e+09,2876331341,65760229,146.02
1788848198.752682201,2880.444481,65.768194,156.870234121,1.956786176e+09,2880485801,65768388,134.73
1788848200.789304284,2884.619868,65.777821,156.921539906,1.95719168e+09,2884650638,65777862,134.73
1788848202.818912129,2888.762586,65.782474,156.926203145,1.957715968e+09,2888796568,65783080,134.73
1788848204.851382316,2892.912761,65.787742,156.935757814,1.958445056e+09,2892945823,65787778,124.10
1788848206.882265442,2897.064395,65.796426,156.959802351,1.958383616e+09,2897099353,65796558,124.10
1788848208.914714284,2901.235619,65.814666,157.028858498,1.958612992e+09,2901282816,65815285,114.96
1788848210.957251223,2905.415799,65.822827,157.058971976,1.959022592e+09,2905450811,65822874,114.96
1788848212.989468460,2909.574324,65.828961,157.070377024,1.959489536e+09,2909611324,65829201,114.96
1788848215.027930400,2913.724742,65.834009,157.08318195,1.960677376e+09,2913757676,65834055,106.00
1788848217.058499136,2917.872592,65.842388,157.115084023,1.961037824e+09,2917905551,65842426,106.00
1788848219.089019924,2922.028867,65.849971,157.130461844,1.961357312e+09,2922068228,65850051,97.83
1788848221.123821008,2926.210334,65.859458,157.162445901,1.961488384e+09,2926255605,65859531,97.83
1788848223.163759212,2930.401032,65.871524,157.20504688,1.962602496e+09,2930440189,65871585,97.83
1788848225.200432319,2934.547697,65.875827,157.213403439,1.963053056e+09,2934580579,65875901,90.24
1788848227.232028013,2938.692353,65.88114,157.229994547,1.963884544e+09,2938727125,65881182,90.24
1788848229.264847859,2942.843499,65.886198,157.246943112,1.9648512e+09,2942880623,65886339,83.41
1788848231.300801811,2947.002998,65.892926,157.263071528,1.965740032e+09,2947039949,65893051,83.41
1788848233.334328103,2951.168526,65.901329,157.295215299,1.966178304e+09,2951205817,65901389,83.41
1788848235.366985717,2955.329785,65.904962,157.300814061,1.966268416e+09,2955370664,65905024,77.05
1788848237.402314683,2959.503874,65.912544,157.326375317,1.967071232e+09,2959540957,65912617,77.05
1788848239.435027195,2963.669927,65.919841,157.354290827,1.967730688e+09,2963708845,65921429,71.28
1788848241.471567328,2967.842423,65.927902,157.378020557,1.968484352e+09,2967879743,65927953,71.28
1788848243.503674310,2972.000251,65.936513,157.414346482,1.969709056e+09,2972037169,65936602,65.89
1788848245.535376215,2976.162916,65.943495,157.427381655,1.970642944e+09,2976201943,65943548,65.89
1788848247.569305825,2980.337748,65.949875,157.444864724,1.970614272e+09,2980372974,65949929,65.89
1788848249.600462251,2984.488471,65.957167,157.464107591,1.97072896e+09,2984519194,65957215,61.10
1788848251.629705819,2988.621492,65.960903,157.473118189,1.971482624e+09,2988654349,65960952,61.10
1788848253.659386795,2992.770657,65.97324,157.49991839,1.972260864e+09,2992803621,65973287,56.36
1788848255.690167948,2996.907468,65.976608,157.501595301,1.973039104e+09,2996939979,65976639,56.36
1788848257.720400924,3000.942976,65.98237,157.517720842,1.886466048e+09,3000974907,65982410,56.36
1788848259.750774594,3005.080045,65.987713,157.533586519,1.83990272e+09,3005112091,65989052,52.09
1788848261.783326269,3009.232462,65.993636,157.54571126,1.818382336e+09,3009265309,65993670,52.09
1788848263.814054658,3013.376194,66.000139,157.563675027,1.818771456e+09,3013409126,66000184,48.08
1788848265.845137807,3017.513084,66.003869,157.568952704,1.819820032e+09,3017546134,66003918,48.08
1788848267.876448052,3021.659467,66.008431,157.573099099,1.8199552e+09,3021696438,66008479,48.08
1788848269.909571687,3025.810206,66.015926,157.593926076,1.8215936e+09,3025843315,66015967,44.63
1788848271.940254050,3029.955245,66.019521,157.598081356,1.82243328e+09,3029988385,66019572,44.63
1788848273.971832629,3034.106134,66.024604,157.608358086,1.822973952e+09,3034136976,66024651,41.22
1788848276.002278577,3038.24546,66.035106,157.64188356,1.823465472e+09,3038282422,66035166,41.22
1788848278.035394364,3042.388955,66.038912,157.650422663,1.824354304e+09,3042421939,66038954,41.22
1788848280.066114378,3046.539762,66.044029,157.663648963,1.826148352e+09,3046574626,66044065,38.31
1788848282.098215839,3050.688935,66.047982,157.670115476,1.829347328e+09,3050719696,66048030,38.31
1788848284.128017857,3054.836896,66.052992,157.682156935,1.82919168e+09,3054867651,66053036,35.49
1788848286.158376548,3058.976293,66.057322,157.693812967,1.829240832e+09,3059021412,66057603,35.49
1788848288.194629504,3063.13078,66.063637,157.719723265,1.829982208e+09,3063163598,66066829,35.49
1788848290.229140945,3067.27875,66.070578,157.737279151,1.83044096e+09,3067309336,66070614,33.05
1788848292.258637475,3071.424706,66.074543,157.742124773,1.831313408e+09,3071455561,66074591,33.05
1788848294.288308208,3075.567842,66.081192,157.764694615,1.832689664e+09,3075600752,66081244,30.64
1788848296.318541152,3079.712387,66.085129,157.77147339,1.832890368e+09,3079745351,66085322,30.64
1788848298.350218063,3083.880839,66.100596,157.815404052,1.83248896e+09,3083924582,66106197,30.64
1788848300.388734865,3088.049658,66.117411,157.874487968,1.8331648e+09,3088082459,66117478,28.67
